station_id,station_name,line,layer,station_lat,station_lon,geometry,length_m,error
355,NEEDHAM JUNCTION,COMMUTER RAIL,TRAIN_NODES,42.27300524445726,-71.2365713633028,POINT (-71.2365713633028 42.27300524445726),19693.0,
356,NEEDHAM CENTER,COMMUTER RAIL,TRAIN_NODES,42.28023532595592,-71.23785482105872,POINT (-71.23785482105872 42.28023532595592),20544.0,
357,HERSEY,COMMUTER RAIL,TRAIN_NODES,42.27577350236045,-71.21460175387173,POINT (-71.21460175387173 42.27577350236045),17960.0,
358,WEST ROXBURY,COMMUTER RAIL,TRAIN_NODES,42.281521827861376,-71.15981430483126,POINT (-71.15981430483126 42.28152182786138),13904.0,
359,HIGHLAND,COMMUTER RAIL,TRAIN_NODES,42.284801931393154,-71.15422693831918,POINT (-71.15422693831918 42.28480193139315),13219.0,
360,BELLEVUE,COMMUTER RAIL,TRAIN_NODES,42.28658429000856,-71.14547358998007,POINT (-71.14547358998007 42.28658429000856),12688.0,
361,ROSLINDALE VILLAGE,COMMUTER RAIL,TRAIN_NODES,42.28705793738711,-71.13165992185225,POINT (-71.13165992185225 42.28705793738711),10922.0,
364,ROUTE 128,COMMUTER RAIL,TRAIN_NODES,42.21029642508788,-71.14717681521078,POINT (-71.14717681521078 42.21029642508788),18760.0,
370,BACK BAY,COMMUTER RAIL,TRAIN_NODES,42.34766968287676,-71.07510354614429,POINT (-71.07510354614429 42.34766968287676),2484.0,
372,QUINCY CENTER,COMMUTER RAIL,TRAIN_NODES,42.25133419698715,-71.00524766888104,POINT (-71.00524766888104 42.25133419698715),13095.0,
375,RUGGLES,COMMUTER RAIL,TRAIN_NODES,42.33654232448528,-71.08921593829662,POINT (-71.08921593829662 42.33654232448528),3994.0,
0,Boston University Central,GREEN,MBTA_NODES,42.35004075702665,-71.10703612049464,POINT (-71.10703612049464 42.35004075702665),5106.0,
1,Amory Street,GREEN,MBTA_NODES,42.35096616648161,-71.11470750829879,POINT (-71.11470750829879 42.35096616648161),5621.0,
2,Babcock Street,GREEN,MBTA_NODES,42.3515930516766,-71.1199201198467,POINT (-71.1199201198467 42.3515930516766),6104.0,
3,Packards Corner,GREEN,MBTA_NODES,42.35178581335207,-71.12522582972619,POINT (-71.12522582972619 42.35178581335207),7883.0,
4,Harvard Avenue,GREEN,MBTA_NODES,42.35041177481019,-71.13100726113383,POINT (-71.13100726113383 42.35041177481019),7830.0,
